id,lat,long,project_type,name,description,location,lga,cwlth_state_funding,project_status,recovery_type
1079,-31.45521401,152.8927226,Local Economic Recovery Funding,Port Macquarie Hastings Bicentennial Walkway Sections,The project will  fund a walkway with pedestrian links into the heart of town. This continuous promenade will encourage tourism traffic and support commercial growth in the Port Macquarie-Hastings region.,Port Macquarie,Port Macquarie-Hastings (A),Up to $3.05 million,In progress,Human/Social
1080,-28.84452106,153.0284673,Local Economic Recovery Funding,Casino Showground and Racecourse Upgrade Project,"The project will give the Casino Racecourse and Showground an overhaul, increasing venue capacity and allowing it to host major national and international equestrian competitions and other high profile events.",Casino,Richmond Valley (A),Up to $8.20 million,In progress,Economic
1081,-34.84669438,150.6036812,Local Economic Recovery Funding,Southern Community and Recreation Precinct,The project will fund the first stage of a new sporting and recreation facility for residents on the south coast in the Shoalhaven for major regional and national sporting tournaments.,Bomaderry,Shoalhaven (C),Up to $8.00 million,In progress,Human/Social
1082,-35.09441823,150.3732861,Local Economic Recovery Funding,Improving resilience of Shoalhaven Power and Communications,"The project will improve energy and telecommunication security, developing micro-grids in place of existing and fire-damaged power infrastructure and, delivering back-up connectivity through satellite digital communication to improve resilience to future natural disasters in the region.",Shoalhaven,Shoalhaven (C),Up to $2.00 million,In progress,Infrastructure
1083,-31.05053894,151.7331718,Local Economic Recovery Funding,Walcha Swimming Pool refurbishment,"The project will fund the refurbishment and improvement of the Walcha community swimming pool - and will deliver solar heating, water management, and improved user facilities.",Walcha,Walcha (A),Up to $1.10 million,In progress,Human/Social
1084,-31.0742362,152.7620404,Local Economic Recovery Funding,Macleay Valley Skydiving Adventure Park,"The project will deliver indoor rock-climbing facilities, training facilities, a canopy piloting hanger, swoop pond, accommodation and amenities, enhancing the region’s tourism offerings.",Aldavilla,Kempsey (A),Up to $11.28 million,In progress,Economic
1085,-35.79059901,150.2106301,Local Economic Recovery Funding,Batemans Bay Coastal Headlands Walking Trail & Observation Point Viewing Platform (Spotted Gum Track),"The project will deliver a 30-kilometre walking track and lookout heading south from Batemans Bay, delivering a highlight for visitors, boosting the local nature-based tourism economy.",Malua Bay,Eurobodalla (A),Up to $5.25 million,In progress,Human/Social
1086,-34.32818471,150.1443961,Local Economic Recovery Funding,Wombeyan Caves Road,"The project will upgrade the flood and fire damaged Wombeyan Caves Road at Bullio, allowing tourist and local traffic to more easily access the regions landmarks and attractions.",Bullio,Wingecarribee (A),Up to $8.00 million,In progress,Infrastructure
1087,-29.06843607,152.948185,Local Economic Recovery Funding,Rappville Packaged Sewage Treatment Plant,"The project will provide the Rappville community with a packaged sewage treatment plant, replacing the current individual systems for each property. The project is intended to support the sustainable growth and liveability of the town.",Rappville,Richmond Valley (A),Up to $3.00 million,In progress,Infrastructure
1088,-29.43322601,153.3406731,Local Economic Recovery Funding,The Shores Drive Roundabout,"The project will deliver a new roundabout to ease traffic congestion, improve liveability for locals, and support tourism and local economic conditions in the region.",Yamba (NSW),Clarence Valley (A),Up to $2.78 million,In progress,Infrastructure
1089,-33.48279582,150.1570465,Local Economic Recovery Funding,Farmers Creek,The project will develop a shared-pathway and improvements along the Farmers Creek green belt. It will improve accessibility and develop green spaces for the Lithgow community.,Lithgow,Lithgow (C),Up to $1.00 million,In progress,Human/Social
1090,-35.43482429,149.8028837,Local Economic Recovery Funding,Braidwood Heritage Centre,"The project will upgrade and develop Braidwood as a cultural and heritage centre, leveraging the community’s current historic buildings.",Braidwood,Queanbeyan-Palerang Regional (A),Up to $2.50 million,In progress,Economic
1091,-35.35714368,150.4611646,Local Economic Recovery Funding,Construction of Berths in Ulladulla Harbour,"The project will fund 19 new boat berths in Ulladulla Harbour for commercial and recreational craft , improving access for visitors and locals to the natural tourism the region has to offer.",Ulladulla,Shoalhaven (C),Up to $1.75 million,In progress,Economic
1092,-33.44852264,150.5495984,Local Economic Recovery Funding,Hawkesbury Community improvement projects,"The project will fund community improvement projects to help fund an all-age access park, recreation and sporting facilities, markets and art installations across Bilpin, St Albans and Colo Heights. ",Bilpin,Hawkesbury (C),Up to $1.68 million,In progress,Human/Social
1093,-35.32118026,148.2333715,Local Economic Recovery Funding,Tumut Aerodrome Improvements,The project will fund improvements to the Tumut Aerodrome to facilitate fire-fighting capabilities and permit air-ambulance access to the regional facility.,Tumut,Snowy Valleys (A),Up to $12.50 million,In progress,Infrastructure
1094,-28.84452106,153.0284673,Local Economic Recovery Funding,Casino Industries Activation Project,The project will support development of a 13-hectare industrial park facilitating the growth and expansion of local industry in the Richmond Valley creating employment opportunities.,Casino,Richmond Valley (A),Up to $9.97 million,In progress,Economic
1095,-30.33634897,151.8291499,Local Economic Recovery Funding,Upgrade Armidale and Guyra Livestock Selling Centres,The project will fund upgrades to the Armidale and the Guyra livestock saleyards through replacing and extending key infrastructure and amenities at each location. The project will support the recovery of the key agricultural sector in the region.,Armidale,Armidale Regional (A),Up to $5.00 million,In progress,Economic
1097,-35.04283224,148.1036667,Local Economic Recovery Funding,Local Hall rebuilding,"The project will rebuild community halls in Kiah, Wandella and Tumbarumba which were destroyed or damaged in the bushfires. This work will provide social assets that will help the recovery of these impacted communities.",Multiple,Multiple NSW,Up to $3.00 million,In progress,Human/Social
1102,-34.89282375,138.8362292,Local Economic Recovery Funding,Lobethal Bushland Park - Play Space Replacement,"The project will help restore the Lobethal Bushland Park by rebuilding play spaces, picnic areas, walking trail infrastructure and native vegetation that was lost in last summer's fires.",Lobethal,Adelaide Hills (DC),"Up to $150,000",In progress,Infrastructure
1104,-27.23147,152.42743,Local Economic Recovery Funding,Mountain to Mountain - Trail development and activation (Stage 2),This project will construct Stage 2 of the Mount Glen Rock Recreation and Nature Reserve development in Somerset Regional Council area.,Esk (Qld),Somerset (R),"Up to $384,988",In progress,Environment
1105,-24.1763232,151.3070308,Local Economic Recovery Funding,Enhanced Resilience Project Officer,The project will fund the employment of a project officer in Gladstone to ensure community members are provided sufficient information and resources to enhance their disaster resilience.,Multiple,Gladstone (R),"Up to $185,000",In progress,Human/Social
1106,-26.18344803,152.6657079,Local Economic Recovery Funding,Region wide Water Main Upgrades for Fire Fighting Pressure,The project will fund upgrades to water mains to provide a secure and reliable water service for residents and enable the required water pressure for firefighting.,Gympie,Gympie (R),Up to $1.08 million,In progress,Infrastructure
1107,-27.62289959,152.7604196,Local Economic Recovery Funding,Hardings Paddock Enrivoplan - Stage 2,The project will fund the enhancement of the fire trails in Harding's Paddock (Ipswich) which are also used as walking trails for the local community. The project includes construction of a new Kupmurri trail head and multi-use fire trails.,Goolman,Ipswich (C),"Up to $340,000",In progress,Infrastructure
1108,-27.58263,152.71935,Local Economic Recovery Funding,Firestation 101 - Refurbishment of additional space and tech upgrade,"The project will build a 'Fire Station 101 Business Incubation Hub' in Ipswich city, to be used by the council as its small business development hub and, in times of disaster, an Economic Recovery Centre for local business.",Ipswich,Ipswich (C),"Up to $280,000",In progress,Economic
1109,-23.1437214,150.7589746,Local Economic Recovery Funding,Wreck Point Walking Trails,"The project will enhance the pathway connection from Cooee Bay Beach to Wreck Point and Lammermoor Beach, including stairways, rest areas, boardwalk, a memorial bench seat and beach access.",Cooee Bay,Livingstone (S),"Up to $500,000",In progress,Infrastructure
1111,-27.64272986,152.2405522,Local Economic Recovery Funding,Rural Hall Upgrades,"The project will fund upgrades to a range of community halls in the Lockyer Valley, which will also serve as emergency hubs in disasters.",Multiple,Lockyer Valley (R),"Up to $700,000",In progress,Infrastructure
1112,-17.98473715,142.9551715,Local Economic Recovery Funding,Mason Street Mareeba Sewer Main Upgrade,The project will fund the upgrade of the sewer main system on Mason Street in Mareeba to improve overall liveability and socio-economic conditions within the town.,Mareeba,Mareeba (S),Up to $2.22 million,In progress,Infrastructure
1113,-26.39823006,153.0932585,Local Economic Recovery Funding,Living FireTech Laboratory in Noosa,"The project will fund the establishment of a Living FireTech Laboratory in Noosa, within which new bushfire-resilience technologies can be trialled and showcased.",Noosa Heads,Noosa (S),Up to $1.89 million,In progress,Economic
1114,-26.32485421,152.945576,Local Economic Recovery Funding,Road Corridor Vegetation Clearing Works,The project will fund the reduction of overgrown vegetation and clearance of fuel load near a number of rural connector roads that provide access to and around the Noosa Shire.,Multiple,Noosa (S),"Up to $110,684",In progress,Environment
1116,-28.21608065,152.0271933,Local Economic Recovery Funding,Warwick Drag Strip,The project will upgrade of the Morgan Park Warwick drag strip in the Southern Downs to a national standard 1/4 mile facility.,Morgan Park,Southern Downs (R),Up to $1.90 million,In progress,Economic
1117,-27.94223222,153.1936746,Local Economic Recovery Funding,Upgrades to Vonda Youngman Community Centre,The project will upgrade the Vonda Youngman Community Centre in Scenic Rim as a community hub and recovery centre.,Tamborine Mountain,Scenic Rim (R),"Up to $600,009",In progress,Infrastructure
1118,-28.11892101,153.1932492,Local Economic Recovery Funding,Rebuilding national icon Binna Burra Lodge,The project will rebuild key common areas and accommodation facilities within the heritage listed Binna Burra Lodge.,Beechmont,Scenic Rim (R),"Up to $500,000",In progress,Infrastructure
1119,-27.57592446,151.9517606,Local Economic Recovery Funding,Electrical Infrastructure Resilience for TRC Water Supply,"The project will replace a 3km stretch of 33,000 volt wooden poles that are susceptible to fire, in a high fire risk area in Toowoomba.",Crows Nest (Qld),Toowoomba (R),Up to $1.91 million,In progress,Infrastructure
1120,-26.88477988,152.2751832,Local Economic Recovery Funding,Moore Soldiers Memorial Hall upgrade,"The project will upgrade existing facilities to improve the operation of the Moore Soldiers Memorial Hall, which is used as a community venue and evacuation centre when required.",Moore,Somerset (R),"Up to $403,452",In progress,Infrastructure
1121,-27.0089366,152.4252133,Local Economic Recovery Funding,Brisbane Valley Rail Trail improvements to user experience,The project will provide increased parking at Fernvale and Esk and enhancements to the overnight camp ground in Toogoolawah to improve the Brisbane Valley Rail Trail user experience.,Multiple,Somerset (R),"Up to $478,800",In progress,Infrastructure
1122,-28.0623254,152.796189,Local Economic Recovery Funding,Upgrades to community facilities as social spaces and places of refuge,The project will upgrade six community halls that can also operate as recovery hubs during and after natural disasters in the Scenic Rim area.,Multiple,Scenic Rim (R),"Up to $309,921",In progress,Infrastructure
